"Something's Gotta Give"	Sony Pictures	Romantic-Comedy
Bridget Jones: The Edge Of …	Universal	Romantic-Comedy
The Prince & Me	Paramount Pictures	Romantic-Comedy
Little Black Book	Sony Pictures	Romantic-Comedy
Laws of Attraction	New Line	Romantic-Comedy
Win a Date with Tad Hamilton!	Dreamworks SKG	Romantic-Comedy
Wimbledon	Universal	Romantic-Comedy
The Girl Next Door	20th Century Fox	Romantic-Comedy
"Breakin' All the Rules"	20th Century Fox	Romantic-Comedy
Chasing Liberty	Warner Bros.	Romantic-Comedy
First Daughter	20th Century Fox	Romantic-Comedy
Love Actually	Universal	Romantic-Comedy
"Love Don't Cost a Thing"	Warner Bros.	Romantic-Comedy
Mujhse Shaadi Karogi	Zee Studios	Romantic-Comedy
Hum Tum	Yash Raj Films	Romantic-Comedy
Touch of Pink	Sony Pictures Cla…	Romantic-Comedy
Love Me If You Dare	Paramount Vantage	Romantic-Comedy
Nez Rouge	Christal Films	Romantic-Comedy
Kyun! Ho Gaya Na...		Romantic-Comedy
Flavors	Net Effect	Romantic-Comedy
Seeing Other People	Lantern Lane Ente…	Romantic-Comedy
Intolerable Cruelty	Universal	Romantic-Comedy
"The Bread, My Sweet"	Panorama Entertai…	Romantic-Comedy
Cowards Bend the Knee	Zeitgeist	Romantic-Comedy
Easy	Magic Lamp	Romantic-Comedy
Perfect Opposites		Romantic-Comedy
Swing	RMH Media/Dominio…	Romantic-Comedy
Lan se da men	Strand	Romantic-Comedy
Hitch	Sony Pictures	Romantic-Comedy
Are We There Yet?	Sony Pictures	Romantic-Comedy
Just Like Heaven	Dreamworks SKG	Romantic-Comedy
Must Love Dogs	Warner Bros.	Romantic-Comedy
Fever Pitch	20th Century Fox	Romantic-Comedy
The Wedding Date	Universal	Romantic-Comedy
Just Friends	New Line	Romantic-Comedy
Prime	Universal	Romantic-Comedy
A Lot Like Love	Walt Disney	Romantic-Comedy
The Perfect Man	Universal	Romantic-Comedy
Broken Flowers	Focus Features	Romantic-Comedy
Undiscovered	Lionsgate	Romantic-Comedy
Shall We Dance?	Miramax	Romantic-Comedy
Little Manhattan	20th Century Fox	Romantic-Comedy
Deewane Huye Paagal	UTV Communications	Romantic-Comedy
Bridget Jones: The Edge Of …	Universal	Romantic-Comedy
Side Effects	Sky Island	Romantic-Comedy
Girl Play	Wolfe Releasing	Romantic-Comedy
The Break-Up	Universal	Romantic-Comedy
Failure to Launch	Paramount Pictures	Romantic-Comedy
The Holiday	Sony Pictures	Romantic-Comedy
John Tucker Must Die	20th Century Fox	Romantic-Comedy
She’s the Man	Paramount Pictures	Romantic-Comedy
My Super Ex-Girlfriend	20th Century Fox	Romantic-Comedy
Just My Luck	20th Century Fox	Romantic-Comedy
The Last Kiss	Paramount Pictures	Romantic-Comedy
Scoop	Focus/Rogue Pictures	Romantic-Comedy
Phat Girlz	Fox Searchlight	Romantic-Comedy
Boynton Beach Club	Wingate Distribution	Romantic-Comedy
Just Friends	New Line	Romantic-Comedy
Imagine Me & You	Fox Searchlight	Romantic-Comedy
The Oh in Ohio	Cyan	Romantic-Comedy
Adam & Steve	TLA Releasing	Romantic-Comedy
Seres Queridos	Magnolia Pictures	Romantic-Comedy
Confetti	Fox Searchlight	Romantic-Comedy
Pyar Ke Side Effects	Eros Entertainment	Romantic-Comedy
Quand la mer monte...	New Yorker	Romantic-Comedy
"April's Shower"	Regent Releasing	Romantic-Comedy
Sleeping Dogs Lie	IDP/Goldwyn/Roadside	Romantic-Comedy
My First Wedding	Indican Pictures	Romantic-Comedy
Zerophilia	Microangelo Enter…	Romantic-Comedy
Knocked Up	Universal	Romantic-Comedy
Enchanted	Walt Disney	Romantic-Comedy
Music and Lyrics	Warner Bros.	Romantic-Comedy
