Paycheck	Paramount Pictures	Thriller-or-Suspense
Basic	Sony Pictures	Thriller-or-Suspense
Cold Creek Manor	Walt Disney	Thriller-or-Suspense
The Life of David Gale	Universal	Thriller-or-Suspense
Narc	Paramount Pictures	Thriller-or-Suspense
Swimming Pool	Focus Features	Thriller-or-Suspense
The Order	20th Century Fox	Thriller-or-Suspense
In the Cut	Sony Pictures	Thriller-or-Suspense
à la folie... pas du tout	Samuel Goldwyn Films	Thriller-or-Suspense
Le cercle rouge		Thriller-or-Suspense
The Statement	Sony Pictures	Thriller-or-Suspense
The Hero: Love Story of a Spy		Thriller-or-Suspense
Demonlover	Palm Pictures	Thriller-or-Suspense
Signs	Walt Disney	Thriller-or-Suspense
No Good Deed	Mac Releasing	Thriller-or-Suspense
The Bank	Cinema Guild	Thriller-or-Suspense
Night of Destiny	ArtMattan Films	Thriller-or-Suspense
The Bourne Supremacy	Universal	Thriller-or-Suspense
The Village	Walt Disney	Thriller-or-Suspense
Man on Fire	20th Century Fox	Thriller-or-Suspense
Ladder 49	Walt Disney	Thriller-or-Suspense
The Forgotten	Sony Pictures	Thriller-or-Suspense
The Manchurian Candidate	Paramount Pictures	Thriller-or-Suspense
The Butterfly Effect	New Line	Thriller-or-Suspense
Secret Window	Sony Pictures	Thriller-or-Suspense
Taking Lives	Warner Bros.	Thriller-or-Suspense
Cellular	New Line	Thriller-or-Suspense
Open Water	Lionsgate	Thriller-or-Suspense
Twisted	Paramount Pictures	Thriller-or-Suspense
Paparazzi	20th Century Fox	Thriller-or-Suspense
Paycheck	Paramount Pictures	Thriller-or-Suspense
Godsend	Lionsgate	Thriller-or-Suspense
Wicker Park	MGM	Thriller-or-Suspense
Spartan	Warner Bros.	Thriller-or-Suspense
The Machinist	Paramount Vantage	Thriller-or-Suspense
The Final Cut	Lionsgate	Thriller-or-Suspense
The Statement	Sony Pictures	Thriller-or-Suspense
Runaway Jury	20th Century Fox	Thriller-or-Suspense
"I'll Sleep When I'm Dead"	Paramount Vantage	Thriller-or-Suspense
Enduring Love	Paramount Vantage	Thriller-or-Suspense
Cavale	Magnolia Pictures	Thriller-or-Suspense
Close Your Eyes		Thriller-or-Suspense
Shade		Thriller-or-Suspense
The Burial Society	Regent Releasing	Thriller-or-Suspense
Out of Time	MGM	Thriller-or-Suspense
Reeseville	Innovation Film G…	Thriller-or-Suspense
La mentale		Thriller-or-Suspense
