Diary of a Chambermaid		Drama
Chunhyang	Lot 47 Films	Drama
The Autumn Heart	Arrow Releasing	Drama
Family Tree		Drama
All About Eve	20th Century Fox	Drama
Claire Dolan	New Yorker	Drama
Harem Suare		Drama
The Visit		Drama
Babymother	Fine Line	Drama
Followers		Drama
Steam: The Turkish Bath	Strand	Drama
Le Chal Apne Sang	Eros Entertainment	Drama
The Trial of Old Drum		Drama
Eastside		Drama
Traffic	USA Films	Drama
Save the Last Dance	Paramount Pictures	Drama
Artificial Intelligence: AI	Warner Bros.	Drama
Chocolat	Miramax	Drama
Blow	New Line	Drama
Enemy at the Gates	Paramount Pictures	Drama
K-PAX	Universal	Drama
Ali	Sony Pictures	Drama
Finding Forrester	Sony Pictures	Drama
Hardball	Paramount Pictures	Drama
A Beautiful Mind	Universal	Drama
Thirteen Days	New Line	Drama
Riding in Cars with Boys	Sony Pictures	Drama
Baby Boy	Sony Pictures	Drama
"Captain Corelli's Mandolin"	Miramax	Drama
Sweet November	Warner Bros.	Drama
Hearts in Atlantis	Warner Bros.	Drama
Angel Eyes	Warner Bros.	Drama
The Majestic	Warner Bros.	Drama
Rock Star	Warner Bros.	Drama
crazy/beautiful	Walt Disney	Drama
O (Othello)	Lionsgate	Drama
Life as a House	New Line	Drama
Pollock	Sony Pictures Cla…	Drama
Shadow of the Vampire	Lionsgate	Drama
"The Man Who Wasn't There"	USA Films	Drama
Sexy Beast	Fox Searchlight	Drama
Amores Perros	Lionsgate	Drama
You Can Count on Me	Paramount Vantage	Drama
Billy Elliot	Focus Features	Drama
The Shipping News	Miramax	Drama
In the Bedroom	Miramax	Drama
Left Behind	Cloud Ten Pictures	Drama
The Anniversary Party	Fine Line	Drama
Before Night Falls	Fine Line	Drama
Quills	Fox Searchlight	Drama
The Widow of St. Pierre	Lionsgate	Drama
Songcatcher	Lionsgate	Drama
The Golden Bowl	Lionsgate	Drama
Malena	Miramax	Drama
The House of Mirth	Sony Pictures Cla…	Drama
Kabhi Khushi Kabhie Gham	Yash Raj Films	Drama
In the Mood for Love	Focus Features	Drama
Waking Life	Fox Searchlight	Drama
"Himalaya - l'enfance d'un chef"	Kino International	Drama
Gabriela	Power Point Films	Drama
Innocence	IDP Distribution	Drama
Remember the Titans	Walt Disney	Drama
China: The Panda Adventure	IMAX Films	Drama
Carman: The Champion	8X Entertainment	Drama
Under the Sand	WellSpring	Drama
Divided We Fall	Sony Pictures Cla…	Drama
Men of Honor	20th Century Fox	Drama
The Road Home	Sony Pictures Cla…	Drama
L.I.E.	Lot 47 Films	Drama
The Center of the World	Artisan	Drama
The Luzhin Defence	Sony Pictures	Drama
Liam	Lionsgate	Drama
Encounter in the Third Dime…	nWave Pictures	Drama
Left Luggage	Castle Hill Produ…	Drama
Der Krieger und die Kaiserin	Sony Pictures Cla…	Drama
An American Rhapsody	Paramount Vantage	Drama
Requiem for a Dream	Artisan	Drama
The Business of Strangers	IFC Films	Drama
Chunhyang	Lot 47 Films	Drama
Yi Yi	WellSpring	Drama
The Man Who Cried	Focus Features	Drama
Faithless	IDP Distribution	Drama
Asoka	First Look	Drama
Panic	Roxie Releasing	Drama
"The Caveman's Valentine"	Focus Features	Drama
Lumumba	Zeitgeist	Drama
Focus	Paramount Vantage	Drama
The Legend of Rita	Kino International	Drama
The Other Side of Heaven	Excel Entertainment	Drama
Dayereh	WinStar Cinema	Drama
Yaadein	Tips Exports	Drama
15 février 1839	Lionsgate	Drama
Dinner Rush	Access Motion Pic…	Drama
Les Rivières Pourpres		Drama
My First Mister	Paramount Vantage	Drama
Pay it Forward	Warner Bros.	Drama
Bread and Roses	Lionsgate	Drama
Our Lady of the Assassins	Paramount Vantage	Drama
Fat Girl	Cowboy Pictures	Drama
Big Eden		Drama
Bully	Lionsgate	Drama
Intimacy	Empire Pictures	Drama
